Title,Author,Genres,Avg_Rating,Num_Ratings,Num_Reviews,Description,Book_URL
The Secret of Crickley Hall,"James Herbert, James Herbert","Horror, Fiction, Thriller, Supernatural, Paranormal, Ghosts, Mystery, Fantasy, Audiobook, Ghost Stories",3.91,"10,171 ratings",875 reviews,"Would you stay in a haunted house for more than one night?

Would you live in a place where ghostly things keep happening? Where a cellar door you know you locked the night before is always open the following morning? Where hushed whimpering is heard? Where white shadows steal through the darkness? Where the presence of evil is all around you?

Would you? Should you?

The Caleighs did, but they had their reasons. They should have known better though. As the terror mounts, they begin to regret their decision. As the horror rises, they realise their very lives are at risk... and so it's their sanity. For the secret of Crickley Hall is beyond all nightmares...",https://www.goodreads.com/book/show/1250316.The_Secret_of_Crickley_Hall
Night in the Lonesome October,"Richard Laymon, Richard Laymon","Horror, Fiction, Halloween, Splatterpunk, Thriller, Mystery, Suspense, Novels, Mystery Thriller, Horror Thriller",3.83,"4,249 ratings",387 reviews,"Ed, a heartbroken college student, finds his life forever changed when he encounters a vast array of creatures that lurk in the darkness, from the seductive to the downright dangerous, when he goes for a walk in the middle of the night. Original.",https://www.goodreads.com/book/show/201643.Night_in_the_Lonesome_October
The Deep,"Nick Cutter, Nick Cutter","Horror, Fiction, Science Fiction, Thriller, Audiobook, Horror Thriller, Mystery, Adult, Lovecraftian, Suspense",3.42,"40,857 ratings","6,944 reviews","From the national bestselling author of The Troop—about which Stephen King raved that it “scared the hell out of me, and I couldn’t put it down”—comes this utterly terrifying new novel that pits the mysteries of The Abyss against the horrors of The Shining.

A strange plague called the ’Gets is decimating humanity on a global scale. It causes people to forget—small things at first, like where they left their keys, then the not-so-small things, like how to drive or the letters of the alphabet. Their bodies forget how to function involuntarily. There is no cure.

But now, far below the surface of the Pacific Ocean, deep in the Mariana Trench, a heretofore-unknown substance hailed as “ambrosia”—a universal healer, from initial reports—has been discovered. It may just be the key to eradicating the ’Gets.

In order to study this phenomenon, a special research lab, the Trieste, has been built eight miles under the sea’s surface. But when the station goes incommunicado, a brave few descend through the lightless fathoms in hopes of unraveling the mysteries lurking at those crushing depths . . . and perhaps to encounter an evil blacker than anything one could possibly imagine.",https://www.goodreads.com/book/show/21412284-the-deep
The Case of Charles Dexter Ward,"H.P. Lovecraft, H.P. Lovecraft","Horror, Fiction, Classics, Fantasy, Lovecraftian, Mystery, Science Fiction, Short Stories, Gothic, Weird Fiction",4.11,"22,921 ratings","1,351 reviews","A nameless terror crossed the centuries... and engulfed the soul of Charles Dexter Ward, a brilliant New England antiquarian. Evil spirits, dark gods whose memory lived in half-understood legends and fear-stricken superstitious whispers lurked in the vile catacombs beneath the surface of the blighted land. It was these loathsome horrors whom Ward was driven to loose on a defenceless world—driven by the all-powerful shade of a dead ancestor who had mastered the blackest arts of magic. Now Ward too needed knowledge of these dark mysteries. To get it, he had to pay in blood. Human blood.

H.P. Lovecraft, the 20th Century's undisputed master of the horror story, wrote only one full-length novel. This is it.",https://www.goodreads.com/book/show/129327.The_Case_of_Charles_Dexter_Ward
Melmoth the Wanderer,"Charles Robert Maturin, Victor Sage, Charles Robert Maturin","Gothic, Classics, Horror, Fiction, 19th Century, Literature, Fantasy, Ireland, Irish Literature, Gothic Horror",3.73,"5,535 ratings",477 reviews,"Created by an Irish clergyman, Melmoth is one of the most fiendish characters in literature. In a satanic bargain, Melmoth exchanges his soul for immortality. The story of his tortured wanderings through the centuries is pieced together through those who have been implored by Melmoth to take over his pact with the devil. Influenced by the Gothic romances of the late 18th century, Maturin's diabolic tale raised the genre to a new and macabre pitch. Its many admirers include Poe, Balzac, Oscar Wilde and Baudelaire.",https://www.goodreads.com/book/show/207313.Melmoth_the_Wanderer
Houdini Heart,"Ki Longfellow, Ki Longfellow","Horror, Fantasy, Fiction, Mystery, Magical Realism, Gothic, Literature, Psychological Horror, Thriller, Supernatural",3.84,"5,460 ratings",229 reviews,"HOUDINI HEART harkens back to the masters of suspenseful supernatural Poe, Lovecraft, Shirley Jackson, but speaks with a wholly fresh voice. Once caught in its pages, there's no escaping Longfellow's terrible tale. Weeks ago, she was one of Hollywood's biggest writers, wed to one of its greatest stars. The doting mother of their golden child. But now? She's alone, tortured by a horrifying secret no woman could bear. Pursued by those she can't outrun, anguished by a guilt she can't endure, and driven close to madness, she flees to the one place she's ever called a small town in Vermont where River House still stands. To a child, the splendid hotel was mysterious and magical and all its glamorous guests knew delicious secrets.Cocooned in its walls, she will write one last book. Her atonement? Or her suicide note? But life is never as you dream it, and River House isn't what she'd always imagined it was. Intense, literary, and harrowing, Houdini Heart is a tale of bone-chilling horror, emotional torment, and psychological terror. Gripped by River House, trapped in an aging hotel of mirrors only Houdini could escape, how much can haunt a mind before it too is only a thing once imagined? ""A haunting and disturbing journey through the psyche.""—Erika Mailman, Author of ""The Witch's Trinity""",https://www.goodreads.com/book/show/11324204-houdini-heart
Dolores Claiborne,"Stephen King, Dominique Dill, Stephen King","Horror, Fiction, Thriller, Mystery, Audiobook, Crime, Suspense, Mystery Thriller, Drama, Adult",3.94,"168,714 ratings","6,523 reviews","À Little Tall, on ne sais toujours pas exactement ce qui s'est passé il y a trente ans, et si l'accident qui, le jour de l'éclipse, a coûté la vie au mari de Dolores Claiborne était vraiment un accident...

Aujourd'hui, la vieille dame indigne est à nouveau soupçonnée : la riche et sénile Vera Donovan, dont elle est la gouvernante depuis des décennies, vient d'être découverte morte dans sa demeure.

Seul témoin et seule héritière, Dolores fait figure de coupable idéale. Elle n'a désormais plus le choix : elle doit passer aux aveux. Raconter les étranges phobies qui habitaient sa maîtresse, se souvenir de l'horreur qu'elle a vécu il y a trente ans. Dire toute la vérité : une vérité terrifiante.",https://www.goodreads.com/book/show/10625.Dolores_Claiborne
Spiderstalk,"D. Nathan Hilliard, D. Nathan Hilliard","Horror, Thriller, Fiction, Mystery, Science Fiction",4.18,246 ratings,43 reviews,"Life hasn't been kind to Adam Sellars lately...

In the past year he has broken up with his fiancee, barely survived a terrible car wreck, and had his brother's family vanish while he lay unconscious in the hospital. All they left behind was a frantic call on his cell phone's voice messages, and a blurry photo of a spider. Since then he has been a crippled shell going through the motions of life with nothing but the search for his brother to keep him going.

But Adam is about to discover that things can still take a turn for the worse. Much worse.

His quest for his brother has brushed up against a very dark corner of the world and something has come out of that darkness with an unholy vengeance. Something unbelievable. He can't fight it, he can't hide from it, and not even the police can protect him as his world descends into chaos.

His only hope lies in a mysterious pair of strangers who have appeared out of nowhere with an offer of aid. But they have their own agenda, and his survival may not be their top priority. Now Adam must keep his wits about him and learn to believe in himself again as events send him on a collision course with a monster more horrific than he ever dreamed possible.",https://www.goodreads.com/book/show/18626140-spiderstalk
The Cipher,"Kathe Koja, Kathe Koja","Horror, Fiction, Fantasy, Science Fiction, Weird Fiction, Lovecraftian, Thriller, Horror Thriller, Novels, Adult",3.53,"7,506 ratings","1,219 reviews","Nicholas is a would-be poet and video-store clerk with a weeping hole in his hand - weeping not blood, but a plasma of tears...

It began with Nakota and her crooked grin. She had to see the dark hole in the storage room down the hall. She had to make love to Nicholas beside it, and stare into its secretive, promising depths. Then Nakota began her experiments: First, she put an insect into the hole. Then a mouse...

Now from down the hall, the black hole calls out to Nicholas every day and every night. And he will go to it. Because it has already seared his flesh, infected his soul, and started him on a journey of obsession - through its soothing, blank darkness into the blinding core of terror...",https://www.goodreads.com/book/show/341930.The_Cipher
No Sanctuary,"Richard Laymon, Richard Laymon","Horror, Fiction, Thriller, Splatterpunk, Suspense, Novels, Serial Killer, Horror Thriller",3.75,"2,099 ratings",125 reviews,"Rick would do anything for his girlfriend, Bert. He'd even spend his vacation in the wilderness with her, hiking the trails around Fern Lake, even though it's the last place on Earth he wants to be. But Rick would follow Bert to hell and back - which is just what he's about to do.

Gillian is on vacation too, but her pastimes are decidedly weirder than Rick and Bert's. She likes to break into people's homes and live there while they're away. Too bad for her she picked the home of a serial killer - a particularly nasty one who likes to take his victims out to the wilds of Fern Lake so he can have his fun without being interrupted. Rick and Bert have no idea how wild the wilderness can be. But they're about to find out.",https://www.goodreads.com/book/show/201612.No_Sanctuary
